model,forecast_date,indicator,filename,first_commit,latest_commit,source,diff,retrospective,status
HZI-ODEmodel,2025-02-20,influenza,2025-02-20-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,36,TRUE,Retrospective
KIT-simple_nowcast,2025-02-27,influenza,2025-02-27-survstat-influenza-KIT-simple_nowcast.csv,2025-02-28,2025-02-28,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-02-27,influenza,2025-02-27-survstat-influenza-KIT-epinowcast.csv,2025-02-28,2025-02-28,survstat,1,FALSE,Prospective
RIVM-GAM,2025-02-27,influenza,2025-02-27-survstat-influenza-RIVM-GAM.csv,2025-02-28,2025-02-28,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-02-27,influenza,2025-02-27-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,29,TRUE,Retrospective
KIT-simple_nowcast,2025-03-06,influenza,2025-03-06-survstat-influenza-KIT-simple_nowcast.csv,2025-03-07,2025-03-07,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-03-06,influenza,2025-03-06-survstat-influenza-KIT-epinowcast.csv,2025-03-12,2025-03-12,survstat,6,FALSE,Prospective
RIVM-GAM,2025-03-06,influenza,2025-03-06-survstat-influenza-RIVM-GAM.csv,2025-03-07,2025-03-07,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-03-06,influenza,2025-03-06-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,22,TRUE,Retrospective
KIT-simple_nowcast,2025-03-13,influenza,2025-03-13-survstat-influenza-KIT-simple_nowcast.csv,2025-03-14,2025-03-14,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-03-13,influenza,2025-03-13-survstat-influenza-KIT-epinowcast.csv,2025-03-14,2025-03-14,survstat,1,FALSE,Prospective
RIVM-GAM,2025-03-13,influenza,2025-03-13-survstat-influenza-RIVM-GAM.csv,2025-03-14,2025-03-14,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-03-13,influenza,2025-03-13-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,15,TRUE,Retrospective
KIT-simple_nowcast,2025-03-20,influenza,2025-03-20-survstat-influenza-KIT-simple_nowcast.csv,2025-03-26,2025-03-26,survstat,6,FALSE,Prospective
KIT-epinowcast,2025-03-20,influenza,2025-03-20-survstat-influenza-KIT-epinowcast.csv,2025-03-26,2025-03-26,survstat,6,FALSE,Prospective
RIVM-GAM,2025-03-20,influenza,2025-03-20-survstat-influenza-RIVM-GAM.csv,2025-03-21,2025-03-21,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-03-20,influenza,2025-03-20-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,8,TRUE,Retrospective
KIT-simple_nowcast,2025-03-27,influenza,2025-03-27-survstat-influenza-KIT-simple_nowcast.csv,2025-03-28,2025-03-28,survstat,1,FALSE,Prospective
KIT-epinowcast,2025-03-27,influenza,2025-03-27-survstat-influenza-KIT-epinowcast.csv,2025-03-29,2025-03-29,survstat,2,FALSE,Prospective
RIVM-GAM,2025-03-27,influenza,2025-03-27-survstat-influenza-RIVM-GAM.csv,2025-03-28,2025-03-28,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-03-27,influenza,2025-03-27-survstat-influenza-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2024-10-17,rsv,2024-10-17-survstat-rsv-KIT-simple_nowcast.csv,2024-10-18,2024-10-18,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-10-17,rsv,2024-10-17-survstat-rsv-HZI-ODEmodel.csv,2024-10-29,2024-10-29,survstat,12,TRUE,Retrospective
KIT-simple_nowcast,2024-10-24,rsv,2024-10-24-survstat-rsv-KIT-simple_nowcast.csv,2024-10-25,2024-10-25,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-10-24,rsv,2024-10-24-survstat-rsv-HZI-ODEmodel.csv,2024-10-29,2024-10-29,survstat,5,FALSE,Prospective
KIT-simple_nowcast,2024-10-31,rsv,2024-10-31-survstat-rsv-KIT-simple_nowcast.csv,2024-11-01,2024-11-01,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-10-31,rsv,2024-10-31-survstat-rsv-HZI-ODEmodel.csv,2024-11-01,2024-11-01,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2024-11-07,rsv,2024-11-07-survstat-rsv-KIT-simple_nowcast.csv,2024-11-08,2024-11-08,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-11-07,rsv,2024-11-07-survstat-rsv-HZI-ODEmodel.csv,2024-11-15,2024-11-15,survstat,8,TRUE,Retrospective
KIT-simple_nowcast,2024-11-14,rsv,2024-11-14-survstat-rsv-KIT-simple_nowcast.csv,2024-11-15,2024-11-15,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-11-14,rsv,2024-11-14-survstat-rsv-HZI-ODEmodel.csv,2024-11-15,2024-11-15,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2024-11-21,rsv,2024-11-21-survstat-rsv-KIT-simple_nowcast.csv,2024-11-22,2024-11-22,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-11-21,rsv,2024-11-21-survstat-rsv-HZI-ODEmodel.csv,2024-11-23,2024-11-23,survstat,2,FALSE,Prospective
KIT-simple_nowcast,2024-11-28,rsv,2024-11-28-survstat-rsv-KIT-simple_nowcast.csv,2024-11-29,2024-11-29,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-11-28,rsv,2024-11-28-survstat-rsv-HZI-ODEmodel.csv,2024-12-02,2024-12-02,survstat,4,FALSE,Prospective
KIT-simple_nowcast,2024-12-05,rsv,2024-12-05-survstat-rsv-KIT-simple_nowcast.csv,2024-12-11,2024-12-11,survstat,6,FALSE,Prospective
HZI-ODEmodel,2024-12-05,rsv,2024-12-05-survstat-rsv-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,36,TRUE,Retrospective
KIT-simple_nowcast,2024-12-12,rsv,2024-12-12-survstat-rsv-KIT-simple_nowcast.csv,2024-12-13,2024-12-13,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-12-12,rsv,2024-12-12-survstat-rsv-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,29,TRUE,Retrospective
KIT-simple_nowcast,2024-12-19,rsv,2024-12-19-survstat-rsv-KIT-simple_nowcast.csv,2024-12-20,2024-12-20,survstat,1,FALSE,Prospective
HZI-ODEmodel,2024-12-19,rsv,2024-12-19-survstat-rsv-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,22,TRUE,Retrospective
KIT-simple_nowcast,2025-01-09,rsv,2025-01-09-survstat-rsv-KIT-simple_nowcast.csv,2025-01-11,2025-01-11,survstat,2,FALSE,Prospective
HZI-ODEmodel,2025-01-09,rsv,2025-01-09-survstat-rsv-HZI-ODEmodel.csv,2025-01-10,2025-01-10,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-16,rsv,2025-01-16-survstat-rsv-KIT-simple_nowcast.csv,2025-01-17,2025-01-17,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-01-16,rsv,2025-01-16-survstat-rsv-HZI-ODEmodel.csv,2025-01-17,2025-01-17,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-23,rsv,2025-01-23-survstat-rsv-KIT-simple_nowcast.csv,2025-01-24,2025-01-24,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-01-23,rsv,2025-01-23-survstat-rsv-HZI-ODEmodel.csv,2025-01-24,2025-01-24,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-01-30,rsv,NA,NA,NA,NA,NA,NA,Prospective
HZI-ODEmodel,2025-01-30,rsv,2025-01-30-survstat-rsv-HZI-ODEmodel.csv,2025-01-31,2025-01-31,survstat,1,FALSE,Prospective
KIT-simple_nowcast,2025-02-06,rsv,2025-02-06-survstat-rsv-KIT-simple_nowcast.csv,2025-02-07,2025-02-07,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-02-06,rsv,2025-02-06-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,50,TRUE,Retrospective
KIT-simple_nowcast,2025-02-13,rsv,2025-02-13-survstat-rsv-KIT-simple_nowcast.csv,2025-02-14,2025-02-14,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-02-13,rsv,2025-02-13-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,43,TRUE,Retrospective
KIT-simple_nowcast,2025-02-20,rsv,2025-02-20-survstat-rsv-KIT-simple_nowcast.csv,2025-02-21,2025-02-21,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-02-20,rsv,2025-02-20-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,36,TRUE,Retrospective
KIT-simple_nowcast,2025-02-27,rsv,2025-02-27-survstat-rsv-KIT-simple_nowcast.csv,2025-02-28,2025-02-28,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-02-27,rsv,2025-02-27-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,29,TRUE,Retrospective
KIT-simple_nowcast,2025-03-06,rsv,2025-03-06-survstat-rsv-KIT-simple_nowcast.csv,2025-03-07,2025-03-07,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-03-06,rsv,2025-03-06-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,22,TRUE,Retrospective
KIT-simple_nowcast,2025-03-13,rsv,2025-03-13-survstat-rsv-KIT-simple_nowcast.csv,2025-03-14,2025-03-14,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-03-13,rsv,2025-03-13-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,15,TRUE,Retrospective
KIT-simple_nowcast,2025-03-20,rsv,2025-03-20-survstat-rsv-KIT-simple_nowcast.csv,2025-03-26,2025-03-26,survstat,6,FALSE,Prospective
HZI-ODEmodel,2025-03-20,rsv,2025-03-20-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,8,TRUE,Retrospective
KIT-simple_nowcast,2025-03-27,rsv,2025-03-27-survstat-rsv-KIT-simple_nowcast.csv,2025-03-28,2025-03-28,survstat,1,FALSE,Prospective
HZI-ODEmodel,2025-03-27,rsv,2025-03-27-survstat-rsv-HZI-ODEmodel.csv,2025-03-28,2025-03-28,survstat,1,FALSE,Prospective
