model,forecast_date,indicator,filename,first_commit,latest_commit,source,diff,retrospective,status
KIT-simple_nowcast,2024-12-12,are,2024-12-12-agi-are-KIT-simple_nowcast.csv,2024-12-13,2024-12-13,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2024-12-12,are,2024-12-12-agi-are-MPIDS-PS_embedding.csv,2024-12-12,2025-06-10,agi,180,TRUE,Prospective
KIT-LightGBM,2024-12-19,are,2024-12-19-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,126,TRUE,Retrospective
KIT-TSMixer,2024-12-19,are,2024-12-19-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,130,TRUE,Retrospective
KIT-hhh4,2024-12-19,are,2024-12-19-agi-are-KIT-hhh4.csv,2024-12-20,2025-06-10,agi,173,TRUE,Prospective
KIT-simple_nowcast,2024-12-19,are,2024-12-19-agi-are-KIT-simple_nowcast.csv,2024-12-20,2024-12-20,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2024-12-19,are,2024-12-19-agi-are-MPIDS-PS_embedding.csv,2024-12-20,2025-06-10,agi,173,TRUE,Prospective
KIT-LightGBM,2025-01-09,are,2025-01-09-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,105,TRUE,Retrospective
KIT-TSMixer,2025-01-09,are,2025-01-09-agi-are-KIT-TSMixer.csv,2025-04-28,2025-04-28,agi,109,TRUE,Retrospective
KIT-hhh4,2025-01-09,are,2025-01-09-agi-are-KIT-hhh4.csv,2025-01-10,2025-06-10,agi,152,TRUE,Prospective
KIT-simple_nowcast,2025-01-09,are,2025-01-09-agi-are-KIT-simple_nowcast.csv,2025-01-10,2025-01-10,agi,1,FALSE,Prospective
MPIDS-PS_embedding,2025-01-09,are,2025-01-09-agi-are-MPIDS-PS_embedding.csv,2025-01-09,2025-06-10,agi,152,TRUE,Prospective
KIT-LightGBM,2025-01-16,are,2025-01-16-agi-are-KIT-LightGBM.csv,2025-04-24,2025-04-24,agi,98,TRUE,Retrospective
